item,source_image,source_page,section,subtopic,answer,transcription_status,notes
77,image_12.jpg,12,Verbal Ability,spelling,A,needs_prompt_transcription,
78,image_12.jpg,12,Verbal Ability,spelling,A,needs_prompt_transcription,
79,image_12.jpg,12,Verbal Ability,error identification,B,needs_prompt_transcription,
80,image_13.jpg,13,Verbal Ability,error identification,B,needs_prompt_transcription,
81,image_13.jpg,13,Numerical Ability,basic operations / order of operations,A,needs_prompt_transcription,
82,image_13.jpg,13,Numerical Ability,percent word problem,B,needs_prompt_transcription,
83,image_13.jpg,13,Numerical Ability,linear equation,B,needs_prompt_transcription,
84,image_13.jpg,13,Numerical Ability,probability word problem,A,needs_prompt_transcription,
85,image_13.jpg,13,Numerical Ability,average word problem,B,needs_prompt_transcription,
86,image_13.jpg,13,Numerical Ability,rate word problem,B,needs_prompt_transcription,
87,image_13.jpg,13,Numerical Ability,fractions,B,needs_prompt_transcription,
88,image_13.jpg,13,Numerical Ability,percent discount word problem,B,needs_prompt_transcription,
89,image_14.jpg,14,Numerical Ability,geometry area,B,needs_prompt_transcription,
90,image_14.jpg,14,Numerical Ability,number sequence,B,needs_prompt_transcription,
91,image_14.jpg,14,Numerical Ability,algebraic expression,A,needs_prompt_transcription,
92,image_14.jpg,14,Numerical Ability,work rate word problem,B,needs_prompt_transcription,
93,image_14.jpg,14,Numerical Ability,ratio,A,needs_prompt_transcription,
94,image_14.jpg,14,Numerical Ability,average word problem,A,needs_prompt_transcription,
95,image_14.jpg,14,Numerical Ability,radicals and exponents,A,needs_prompt_transcription,
96,image_14.jpg,14,Numerical Ability,profit percent word problem,B,needs_prompt_transcription,
97,image_14.jpg,14,Numerical Ability,algebra word problem,A,needs_prompt_transcription,
98,image_15.jpg,15,Numerical Ability,decimal to fraction,B,needs_prompt_transcription,
99,image_15.jpg,15,Numerical Ability,percent capacity word problem,A,needs_prompt_transcription,
100,image_15.jpg,15,Numerical Ability,geometry perimeter,B,needs_prompt_transcription,
101,image_15.jpg,15,Numerical Ability,exponents / order of operations,A,needs_prompt_transcription,
102,image_15.jpg,15,Numerical Ability,linear equation,A,needs_prompt_transcription,
103,image_15.jpg,15,Numerical Ability,speed word problem,A,needs_prompt_transcription,
104,image_15.jpg,15,Numerical Ability,GCF,C,needs_prompt_transcription,
105,image_15.jpg,15,Numerical Ability,LCM,C,needs_prompt_transcription,
106,image_15.jpg,15,Numerical Ability,consecutive numbers word problem,B,needs_prompt_transcription,
107,image_15.jpg,15,Numerical Ability,unit rate word problem,B,needs_prompt_transcription,
108,image_16.jpg,16,Numerical Ability,map scale word problem,B,needs_prompt_transcription,
109,image_16.jpg,16,Numerical Ability,algebraic expression,A,needs_prompt_transcription,
110,image_16.jpg,16,Numerical Ability,percent,A,needs_prompt_transcription,
111,image_16.jpg,16,Numerical Ability,function evaluation,A,needs_prompt_transcription,
112,image_16.jpg,16,Numerical Ability,arithmetic word problem,A,needs_prompt_transcription,
113,image_16.jpg,16,Numerical Ability,geometry volume,B,needs_prompt_transcription,
114,image_16.jpg,16,Numerical Ability,unit cost word problem,B,needs_prompt_transcription,
115,image_16.jpg,16,Numerical Ability,linear equation,A,needs_prompt_transcription,
116,image_16.jpg,16,Numerical Ability,fraction to decimal,A,needs_prompt_transcription,
117,image_17.jpg,17,Numerical Ability,speed conversion,A,needs_prompt_transcription,
118,image_17.jpg,17,Numerical Ability,geometry circumference,A,needs_prompt_transcription,
119,image_17.jpg,17,Numerical Ability,ratio word problem,B,needs_prompt_transcription,
120,image_17.jpg,17,Numerical Ability,percent increase word problem,B,needs_prompt_transcription,
121,image_17.jpg,17,Analytical Ability,word analogy,A,needs_prompt_transcription,
122,image_17.jpg,17,Analytical Ability,word analogy,A,needs_prompt_transcription,
123,image_17.jpg,17,Analytical Ability,word analogy,B,needs_prompt_transcription,
124,image_17.jpg,17,Analytical Ability,word analogy,C,needs_prompt_transcription,
125,image_17.jpg,17,Analytical Ability,word analogy,A,needs_prompt_transcription,
126,image_18.jpg,18,Analytical Ability,word analogy,A,needs_prompt_transcription,
127,image_18.jpg,18,Analytical Ability,word analogy,B,needs_prompt_transcription,
128,image_18.jpg,18,Analytical Ability,word analogy,A,needs_prompt_transcription,
129,image_18.jpg,18,Analytical Ability,word analogy,B,needs_prompt_transcription,
130,image_18.jpg,18,Analytical Ability,word analogy,A,needs_prompt_transcription,
131,image_18.jpg,18,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
132,image_18.jpg,18,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
133,image_18.jpg,18,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
134,image_18.jpg,18,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
135,image_19.jpg,19,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
136,image_19.jpg,19,Analytical Ability,filing/process sequence,A,needs_prompt_transcription,
137,image_19.jpg,19,Analytical Ability,alphanumeric sequence,A,needs_prompt_transcription,
138,image_19.jpg,19,Analytical Ability,number sequence,A,needs_prompt_transcription,
139,image_19.jpg,19,Analytical Ability,filing/process sequence,A,needs_prompt_transcription,
140,image_19.jpg,19,Analytical Ability,number sequence,B,needs_prompt_transcription,
141,image_19.jpg,19,Analytical Ability,word analogy,A,needs_prompt_transcription,
142,image_19.jpg,19,Analytical Ability,word analogy,A,needs_prompt_transcription,
143,image_19.jpg,19,Analytical Ability,word analogy,A,needs_prompt_transcription,
144,image_20.jpg,20,Analytical Ability,word analogy,B,needs_prompt_transcription,
145,image_20.jpg,20,Analytical Ability,word analogy,A,needs_prompt_transcription,
146,image_20.jpg,20,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
147,image_20.jpg,20,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
148,image_20.jpg,20,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
149,image_20.jpg,20,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
150,image_20.jpg,20,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
151,image_20.jpg,20,Analytical Ability,word analogy,A,needs_prompt_transcription,
152,image_21.jpg,21,Analytical Ability,word analogy,A,needs_prompt_transcription,
153,image_21.jpg,21,Analytical Ability,word analogy,A,needs_prompt_transcription,
154,image_21.jpg,21,Analytical Ability,word analogy,A,needs_prompt_transcription,
155,image_21.jpg,21,Analytical Ability,word analogy,A,needs_prompt_transcription,
156,image_21.jpg,21,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
157,image_21.jpg,21,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
158,image_21.jpg,21,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
159,image_21.jpg,21,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
160,image_22.jpg,22,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
161,image_22.jpg,22,Analytical Ability,number sequence,B,needs_prompt_transcription,
162,image_22.jpg,22,Analytical Ability,number sequence,A,needs_prompt_transcription,
163,image_22.jpg,22,Analytical Ability,number sequence,A,needs_prompt_transcription,
164,image_22.jpg,22,Analytical Ability,number sequence,A,needs_prompt_transcription,
165,image_22.jpg,22,Analytical Ability,number sequence,A,needs_prompt_transcription,
166,image_22.jpg,22,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
167,image_23.jpg,23,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
168,image_23.jpg,23,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
169,image_23.jpg,23,Analytical Ability,assumption / conclusion,A,needs_prompt_transcription,
170,image_23.jpg,23,Analytical Ability,assumption / conclusion,B,needs_prompt_transcription,
